Batsman,year,runs,strike_rate_batsman,Frequency,per_balls_faced,per_outs,F,run_1,out_1,str_rate1,bat_avg1,RFM_Segment_Concat,type,cluster
SC Ganguly,2008,349.0,107.71604938271605,100.0,20.809248554913296,13.636363636363635,4,4,4,3,4,44434,cluster 8,8
SC Ganguly,2009,189.0,88.73239436619718,84.61538461538461,14.059405940594061,15.277777777777779,4,4,4,2,4,44424,cluster 8,8
SC Ganguly,2010,493.0,112.04545454545456,100.0,25.64102564102564,18.30985915492958,4,4,4,3,4,44434,cluster 8,8
SC Ganguly,2011,50.0,81.96721311475409,23.07692307692308,3.9973787680209703,2.409638554216868,2,3,2,2,3,23223,cluster 3,3
SC Ganguly,2012,268.0,93.05555555555556,93.75,14.58227848101266,13.461538461538463,4,4,4,2,4,44424,cluster 8,8
BB McCullum,2008,299.0,162.5,50.0,8.467556373676945,6.106870229007633,3,4,3,4,3,34343,cluster 6,6
BB McCullum,2009,702.0,117.3913043478261,100.0,20.858039762818283,13.888888888888891,4,4,4,3,4,44434,cluster 8,8
BB McCullum,2010,401.0,121.51515151515152,55.555555555555564,10.553245922609529,6.451612903225807,3,4,3,3,4,34334,cluster 6,6
BB McCullum,2011,543.0,130.84337349397592,89.47368421052632,19.230769230769234,14.545454545454545,4,4,4,4,4,44444,cluster 8,8
BB McCullum,2012,754.0,117.8125,68.29268292682927,13.2013201320132,11.618257261410788,3,4,4,3,4,34434,cluster 6,6
BB McCullum,2013,184.0,149.59349593495938,22.72727272727273,4.6223224351747465,3.546099290780142,2,4,2,4,3,24243,cluster 4,4
BB McCullum,2014,628.0,123.13725490196079,84.61538461538461,17.051153460381144,13.636363636363635,4,4,4,3,4,44434,cluster 8,8
BB McCullum,2015,741.0,164.30155210643014,61.111111111111114,10.466465537247624,9.090909090909092,3,4,3,4,4,34344,cluster 6,6
BB McCullum,2016,762.0,137.79385171790236,69.38775510204081,9.635825056630075,10.264900662251655,3,4,4,4,3,34443,cluster 6,6
BB McCullum,2017,1237.0,145.358401880141,77.96610169491525,12.624239727043465,10.512820512820513,3,4,4,4,4,34444,cluster 6,6
