year,bowler,economy,bowling_strike_rate,bowling_average,per_matches_played,per_balls_faced,per_out,per_runs,per_extras,F,run_1,out_1,str_rate1,bowl_avg1,eco_1,ext,bf,RFM_Segment_Concat,cluster
2008,P Kumar,7.672473867595817,22.07692307692308,28.23076923076923,93.33333333333331,16.962174940898343,19.402985074626862,17.270588235294117,15.483870967741936,4,4,4,3,3,3,4,4,44434,8
2009,P Kumar,7.3076923076923075,19.5,23.75,81.25,16.317991631799163,18.181818181818183,17.375400091449475,16.27906976744186,4,4,4,3,3,2,4,4,44424,8
2010,P Kumar,7.211538461538463,22.285714285714285,26.785714285714285,60.86956521739131,11.016949152542374,10.218978102189784,11.088113542282672,19.78609625668449,3,3,3,3,3,2,4,3,33324,6
2011,P Kumar,7.028089887640449,27.384615384615387,32.07692307692308,94.44444444444444,17.123617123617123,12.621359223300969,16.144018583042975,16.470588235294116,4,4,3,4,4,2,4,4,44324,8
2012,P Kumar,6.5662921348314605,31.785714285714285,34.785714285714285,63.33333333333333,12.475469582282027,7.4074074074074066,11.216029479502533,17.475728155339805,3,3,3,4,4,2,4,3,33324,6
2013,P Kumar,6.016949152542372,27.23076923076923,27.30769230769231,93.75,18.4375,15.853658536585364,15.454941227688293,32.5,4,4,4,4,3,1,4,4,44414,8
2014,P Kumar,6.328767123287673,18.25,19.25,20.0,4.030922142462726,5.479452054794519,3.466906798739307,3.2,1,1,2,3,2,1,2,2,11212,2
2015,P Kumar,8.217391304347826,32.857142857142854,45.0,85.71428571428571,14.677728142948311,8.860759493670884,15.609514370664025,21.296296296296298,4,4,3,4,4,3,4,4,44334,8
2016,P Kumar,7.2037617554858935,31.9,38.3,100.0,16.745406824146983,12.345679012345679,15.265045834994021,25.510204081632647,4,4,3,4,4,2,4,4,44324,8
2017,P Kumar,7.777777777777778,18.0,23.33333333333333,42.857142857142854,6.1224489795918355,7.792207792207793,5.54675118858954,13.861386138613865,2,2,3,3,3,3,4,2,22334,4
2008,Z Khan,8.069767441860465,17.2,23.13333333333333,78.57142857142857,15.89648798521257,22.72727272727273,16.902094495859718,14.473684210526313,3,4,4,3,3,3,4,4,34434,7
2009,Z Khan,6.6378737541528245,18.8125,20.8125,60.86956521739131,10.819554277498202,11.764705882352938,10.534640936412528,9.411764705882351,3,3,3,3,3,2,3,3,33323,6
2010,Z Khan,7.796703296703298,18.2,23.65,73.91304347826086,13.084112149532707,13.888888888888891,14.429530201342285,10.152284263959393,3,4,4,3,3,3,3,3,34433,7
2011,Z Khan,6.9490616621983925,24.86666666666667,28.8,93.75,19.177377892030847,17.24137931034483,18.29733163913596,21.85430463576159,4,4,4,4,3,2,4,4,44424,8
2012,Z Khan,6.9559748427672945,18.346153846153847,21.26923076923077,68.96551724137932,13.714778608395633,14.054054054054054,12.494351558969724,22.09302325581395,3,3,4,3,3,2,4,4,33424,6
2013,Z Khan,7.105263157894738,7.6,9.0,13.333333333333336,2.0277481323372464,4.716981132075472,1.9421665947345708,1.7857142857142856,1,1,2,1,1,2,1,1,11221,2
